"Titular","Fuente","Posteado","Descripcion","Link"
"Oil Market Plunges 15%: What's Next? | Investing.com","Investing.com","7 hours ago","Let us recall that Brent traded at $70 per barrel in the middle of this month and had all the fundamental grounds to keep rising. Market sentiment hit a...","https://www.investing.com/analysis/oil-market-plunges-15-whats-next-200569429"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","ABC News","5 days ago","Saudi Arabian Oil Co. released its annual financial results a year after the pandemic sent the price...","https://abcnews.go.com/Business/wireStory/oil-giant-saudi-aramco-sees-2020-profits-drop-76588648"
"Oil Prices Slide as Coronavirus Lockdown Concerns Outweigh Suez Canal Disruptions","US News & World Report","20 hours ago","U.S. West Texas Intermediate (WTI) crude futures dropped by $1.27, or 2.1%, to $59.91 a barrel,...","https://money.usnews.com/investing/news/articles/2021-03-24/oil-prices-slide-as-coronavirus-lockdown-concerns-outweigh-suez-canal-disruptions"
"Oil prices climb toward session highs on report of an attack on Saudi oil facility","Market Watch","6 days ago","Oil futures climbed toward their highest levels of the trading session Friday, buoyed by reports...","https://www.marketwatch.com/story/oil-prices-climb-toward-session-highs-on-report-of-an-attack-on-saudi-oil-facility-2021-03-19"
"Oil Investors Hunt for Cash Gushers","The Wall Street Journal","6 days ago","Big Oil spent years chasing growth. Now it is in a new race—to see how quickly it can return cash to investors’ pockets. The largest U.S. integrated...","https://www.wsj.com/articles/oil-investors-hunt-for-cash-gushers-11616151615"
"Oil Pulls Back After Surge With Suez Canal Blockage in Focus","Investing.com","17 hours ago","Oil Pulls Back After Surge With Suez Canal Blockage in Focus","https://in.investing.com/news/oil-pulls-back-after-surge-with-suez-canal-blockage-in-focus-2660732"
"Oil rises, gold range-trading - MarketPulse","MarketPulse","11 hours ago","Oil eases on Suez Canal hopes Oil markets charged higher overnight, unwinding all of their previous day’s slump. Oil’s rally was powered ...","https://www.marketpulse.com/20210325/oil-rises-gold-range-trading/"
"Oil falls as demand concerns outweigh Suez Canal disruptions By Reuters","Investing.com","17 hours ago","Oil prices fell on Thursday as a new round of coronavirus restrictions in Europe revived worries...","https://www.investing.com/news/coronavirus/oil-prices-slide-as-coronavirus-lockdown-concerns-outweigh-suez-canal-disruptions-2456639"
"Oil's Recent Sell-Off Could Put Invesco's 'DBO' in an Area of Value","ETF Trends","3 days ago","Oil’s recent sell-off may have just been a temporary setback for bullish traders and investors...","https://www.etftrends.com/innovative-etfs-channel/oils-recent-sell-off-dbo-in-area-of-value/"
"Oil prices bounce after container ship blocks Suez Canal","MSN News","1 day ago","The price of Brent crude oil increased by 5.77% to 64.3 dollars per barrel.","https://www.msn.com/en-gb/money/other/oil-prices-bounce-after-container-ship-blocks-suez-canal/ar-BB1eVk6T"
"Oil Down Over COVID-19 Lockdown, Fuel Demand Worries By Investing.com","Investing.com","17 hours ago","Fresh COVID-19-induced lockdowns in Europe re-triggered fuel demand worries, capping overnight gains...","https://au.investing.com/news/commodities-news/oil-down-over-covid19-lockdown-fuel-demand-worries-2315871"
"Oil plunges more than 6% on concerns over Europe curbs, rollouts By Reuters","Investing.com","3 days ago","Oil prices fell more than 6% on Tuesday, tumbling as concerns over new pandemic curbs and slow...","https://ca.investing.com/news/commodities-news/oil-plunges-more-than-6-on-concerns-over-europe-curbs-rollouts-2392111"
"Oil Edges Lower at the Open After Ending Ugly Week With a Bounce","Investing.com","5 days ago","Oil Edges Lower at the Open After Ending Ugly Week With a Bounce","https://in.investing.com/news/oil-edges-lower-at-the-open-afterending-ugly-week-with-a-bounce-2655697"
"Oil prices remain under pressure after largest weekly slide since October","Market Watch","3 days ago","Crude-oil futures add to losses Monday morning, after last week producing their largest weekly loss...","https://www.marketwatch.com/story/oil-prices-remain-under-pressure-after-largest-weekly-slide-since-october-11616416239"
"Big Oil Backs Carbon Tax","Reason.com","2 days ago","Executives from leading oil companies, including ExxonMobil, BP, Chevron, ConocoPhillips, and the American Petroleum Institute (API), met virtually with...","https://reason.com/2021/03/23/big-oil-backs-carbon-tax/"
"Oil Bounces Back as U.S. Supply Report Hints at Demand Revival","Bloomberg","2 days ago","Oil surged the most since November as signs of stronger gasoline demand in the U.S. eased concerns...","https://www.bloomberg.com/news/articles/2021-03-23/oil-extends-losses-on-rising-u-s-stockpiles-as-sell-off-deepens"
"Oil Goes Yo-Yo, Falling 4% on Volatility Spike, Despite Suez Jam By Investing.com","Investing.com","17 hours ago","Crude prices slumped again Thursday, falling more than 4% after Wednesday’s 6% leap recouped almost...","https://au.investing.com/news/commodities-news/oil-goes-yoyo-falling-4-on-volatility-spike-despite-suez-jam-2316310"
"Oil falls as demand concerns trump Suez Canal disruptions","Investing.com","17 hours ago","Oil prices fell more than 2% as fresh coronavirus lockdowns revived worries about demand for oil...","https://za.investing.com/news/update-1oil-falls-as-demand-concerns-trump-suez-canal-disruptions-2281313"
"Oil prices drop as demand concerns outweigh Suez disruption","Reuters","20 hours ago","Oil prices fell on Thursday as a new round of coronavirus restrictions in Europe revived worries...","https://www.reuters.com/article/global-oil-int-idUSKBN2BH05U"
"Oil: why higher prices will complicate the energy transition - EconoTimes","EconoTimes","3 days ago","The oil price is on a rollercoaster. The suspicion then and consensus now is that this sought to...","http://www.econotimes.com/Oil-why-higher-prices-will-complicate-the-energy-transition-1604739"
"Oil falls as demand concerns trump Suez Canal disruptions By Reuters","Investing.com","17 hours ago","Oil prices fell more than 2% as fresh coronavirus lockdowns revived worries about demand for oil...","https://uk.investing.com/news/coronavirus/oil-prices-slide-as-coronavirus-lockdown-concerns-outweigh-suez-canal-disruptions-2332266"
"Oil Down, Fresh European Lockdowns Dampen Fuel Demand Recovery Hopes By Investing.com","Investing.com","4 days ago","Oil was down Monday morning in Asia, resuming a downward trend as the prospect of more COVID-19...","https://www.investing.com/news/commodities-news/oil-down-fresh-european-lockdowns-dampen-fuel-demand-recovery-hopes-2452936"
"Crude Oil Lower; European Lockdowns Spur Demand Worries","Investing.com","17 hours ago","Crude oil prices weakened Thursday over doubts about the speed of the recovery in global oil demand...","https://za.investing.com/news/crude-oil-lower-european-lockdowns-spur-demand-worries-2281769"
"Oil Steadies With Demand in Focus After Worst Week in 5 Months","Bloomberg","4 days ago","Oil edged higher on Monday as investors looked past the uneven demand recovery around the world...","https://www.bloomberg.com/news/articles/2021-03-21/oil-edges-lower-at-the-open-after-ending-ugly-week-with-a-bounce"
"Oil rises on bargain-hunting but oversupply fears cap gains","CNBC","2 days ago","Oil prices edged higher on Wednesday as investors looked for bargains following the previous day's...","https://www.cnbc.com/2021/03/24/oil-markets-coronavirus-us-crude-stocks.html"
"Oil: Next Midterm Target $80 | Investing.com","Investing.com","1 day ago","Investors in the oil market finally had enough of the bullish run. It is widely held that investors increasingly doubt that demand will recover quickly;...","https://www.investing.com/analysis/oil-next-midterm-target-80-200569215"
"Oil drops on concerns European COVID-19 issues to crimp demand By Reuters","Investing.com","3 days ago","Oil prices fell 1% on Tuesday on concerns that new pandemic curbs and slow vaccine rollouts in...","https://ca.investing.com/news/coronavirus/oil-drops-on-concerns-european-covid19-issues-to-crimp-demand-2391254"
"Oil slump deepens as Europe faces pandemic lockdowns By Reuters","Investing.com","7 days ago","Oil slump deepens as Europe faces pandemic lockdowns","https://ng.investing.com/news/commodities-news/oil-slump-deepens-as-europe-faces-pandemic-lockdowns-364687"
"Oil prices slide as coronavirus lockdown concerns outweigh Suez Canal disruptions By Reuters","Investing.com","19 hours ago","U.S. West Texas Intermediate (WTI) crude futures dropped by $1.27, or 2.1%, to $59.91 a barrel,...","https://ca.investing.com/news/coronavirus/oil-prices-slide-as-coronavirus-lockdown-concerns-outweigh-suez-canal-disruptions-2393651"
"Oil futures mark first climb in 6 sessions, suffer a more than 6% weekly loss","Market Watch","6 days ago","Oil futures ended sharply higher on Friday, getting a boost, in part, due to reports of an attack on...","https://www.marketwatch.com/story/oil-futures-mark-first-climb-in-6-sessions-suffer-a-more-than-6-weekly-loss-2021-03-19"
"Oil Surges As Stocks Trade Mixed","International Business Times","1 day ago","Oil surges as stocks trade mixed","https://www.ibtimes.com/oil-surges-stocks-trade-mixed-3168014"
"Oil drops on concerns European COVID-19 issues to crimp demand By Reuters","Investing.com","3 days ago","Oil prices fell 1% on Tuesday on concerns that new pandemic curbs and slow vaccine rollouts in...","https://www.investing.com/news/coronavirus/oil-drops-on-concerns-european-covid19-issues-to-crimp-demand-2454116"
"Oil falls as demand concerns trump Suez Canal disruptions","Nasdaq","17 hours ago","Oil prices fell more than 1% as fresh coronavirus lockdowns revived worries about demand for oil...","https://www.nasdaq.com/articles/oil-falls-as-demand-concerns-trump-suez-canal-disruptions-2021-03-25"
"Oil prices post a rebound as ship mishap blocks Suez Canal","MarketWatch","1 day ago","Oil futures rose sharply Wednesday to recover nearly all of the losses from the previous session,...","https://www.marketwatch.com/story/oil-prices-bounce-as-ship-mishap-blocks-suez-canal-11616588822?siteid=yhoof2&yptr=yahoo"
"Oil slump deepens as Europe faces pandemic lockdowns","Reuters","7 days ago","Oil prices fell on Friday, extending losses for a sixth day as a new wave of COVID-19 infections wash across Europe, spurring new lockdowns and dampening...","https://www.reuters.com/article/us-global-oil-idUSKBN2BB042"
"Oil sell-off continues, gold under pressure - MarketPulse","MarketPulse","3 days ago","Oil prices resumed the sell-off on Monday, building on last week’s steep losses amid growing...","https://www.marketpulse.com/20210322/oil-sell-off-continues-gold-pressure/"
"Oil Steadies on Demand Recovery Hopes Despite European Lockdowns","FX Empire","3 days ago","“Oil (had) its worst week this year as concerns grow over a flaring up in COVID-19 cases across...","https://www.fxempire.com/news/article/oil-steadies-on-demand-recovery-hopes-despite-european-lockdowns-712056"
"Oil drops on concerns European COVID-19 issues to crimp demand By Reuters","Investing.com","3 days ago","Oil drops on concerns European COVID-19 issues to crimp demand","https://ph.investing.com/news/commodities-news/oil-drops-on-concerns-european-covid19-issues-to-crimp-demand-367730"
"Oil Battered in Ugly Week as Dollar, Demand Concerns Spur Slump","Investing.com","7 days ago","Oil Battered in Ugly Week as Dollar, Demand Concerns Spur Slump","https://za.investing.com/news/oil-battered-in-ugly-week-as-dollar-demand-concerns-spur-slump-2277589"
"Oil extend losses amid gloomy demand outlook","Reuters","7 days ago","Oil prices fell on Friday for a sixth day in a row, down nearly 9% for the week, as a new wave of COVID-19 infections in particular across Europe spurred...","https://www.reuters.com/article/uk-global-oil-idUSKBN2BB03L"
"Oil futures finish with a modest climb as traders weigh the latest prospects for energy demand","Market Watch","3 days ago","Oil futures finished slightly higher on Monday, finding support after hefty losses last week....","https://www.marketwatch.com/story/oil-futures-finish-with-a-modest-climb-as-traders-weigh-the-latest-prospects-for-energy-demand-2021-03-22"
"Oil Down as Uneven COVID-19 Recovery Stoke Fuel Demand Worries By Investing.com","Investing.com","3 days ago","Oil was down Tuesday morning in Asia, continuing its trend downwards over persistent worries about...","https://www.investing.com/news/oil-down-as-uneven-covid19-recovery-stoke-fuel-demand-worries-2454111"
"Oil falls as European coronavirus curbs point to demand hit","Reuters","3 days ago","Oil prices fell 1% on Tuesday, hit by concerns that new pandemic curbs and slow vaccine rollouts in...","https://www.reuters.com/article/global-oil-int-idUSKBN2BF06A"
"Oil falls as European coronavirus curbs point to demand hit","Reuters","3 days ago","Oil prices fell 1% on Tuesday, hit by concerns that new pandemic curbs and slow vaccine rollouts in...","https://www.reuters.com/article/us-global-oil-idUSKBN2BF062"
"Oil prices sag over last week; Texas drivers may see pump price impacts - Port Arthur News","Port Arthur News","3 days ago","With oil prices finally sagging over the last week on inflation fears and worries about a surge in...","https://www.panews.com/2021/03/22/oil-prices-sag-over-last-week-texas-drivers-may-see-pump-price-impacts/"
"Oil Bears Reign Despite Blockage at Suez Canal","FX Empire via Yahoo Finance","13 hours ago","At press time, the British-based contract Brent crude futures lost over 1% to trade at $63 a barrel after jumping substantially yesterday. Sequel to the...","https://finance.yahoo.com/news/oil-bears-reign-despite-blockage-084713655.html"
"Oil rises as much as 3% after a grounded container ship blocks the key Suez Canal trade route","Business Insider","1 day ago","Oil rose by as much as 3% on Wednesday after a huge container ship ran aground and blocked the Suez...","https://www.businessinsider.com/oil-price-brent-crude-suez-canal-blockage-container-cargo-2021-3"
"Oil Tumbles 4% As Demand Worries Usurp Market","Investing.com","3 days ago","Such a reflex barely existed between the end of October and mid-March as the hype over OPEC+ production cuts glossed over any imperfections in oil demand...","http://in.investing.com/news/oil-tumbles-4-as-demand-worries-usurp-market-2658551"
"Oil Slides On COVID Fears, Gold Ranges | Investing.com","Investing.com","1 day ago","A souring outlook for the global recovery as COVID-19 fears resurface, and it appears there is still...","https://www.investing.com/analysis/oil-slides-on-covid-fears-gold-ranges-200569187"
"Oil Price Fundamental Daily Forecast – Buyers Taking CheaperOil from Storage; Demand Recovery...","FX Empire via Yahoo Finance","10 hours ago","U.S. West Texas Intermediate and international-benchmark Brent crude oil futures are trading lower...","https://finance.yahoo.com/news/oil-price-fundamental-daily-forecast-121204708.html"
"Oil prices drop 4% as new lockdowns undermine hopes for economic recovery","Reuters via Yahoo News","20 hours ago","Oil prices fell 4% per barrel on Thursday, extending a string of market weakness on renewed...","https://www.yahoo.com/finance/news/oil-prices-slide-coronavirus-lockdown-015538136.html"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","ABC News","5 days ago","Saudi Arabian Oil Co. released its financial results a year after the pandemic sent the price of oil...","https://abcnews.go.com/International/wireStory/oil-giant-saudi-aramco-sees-2020-profits-drop-76587510"
"Oil Drops in Volatile Week With Suez Canal Blockage Dragging On","Bloomberg via Yahoo Finance","3 hours ago","While the Suez blockage is complicating trade, a long-term realignment of global crude flows has...","https://finance.yahoo.com/news/oil-pulls-back-surge-suez-234516179.html"
"Oil prices fall as fresh European lockdowns dampen demand prospects","Business Insider","2 days ago","Brent and WTI oil prices were in the red as COVID-19 lockdowns broadened in Europe. Germany has...","https://www.businessinsider.com/oil-prices-fall-on-demand-outlook-germany-orders-lockdowns-2021-3"
"Oil Surges As Stocks Trade Mixed Amid Latest Covid-19 Wave","International Business Times","1 day ago","Oil surges as stocks trade mixed amid latest Covid-19 wave","https://www.ibtimes.com/oil-surges-stocks-trade-mixed-amid-latest-covid-19-wave-3168014"
"Oil falls as European lockdowns douse recovery hopes","KFGO","4 days ago","TOKYO (Reuters) - Oil prices resumed their decline on Monday, falling around 1% as worries about a drop in demand for fuel products in the wake of yet...","https://kfgo.com/2021/03/21/oil-falls-as-european-lockdowns-douse-recovery-hopes/"
"Oil Slumps Below $60 Again","Barron s Online","2 days ago","Brent crude futures were down 4.1%, to $62.00 a barrel. West Texas Intermediate crude futures, the U.S. benchmark, fell 3.9%, to $59.15 a barrel. Oil...","https://www.barrons.com/articles/oil-slumps-below-60-again-signs-of-weaker-demand-in-europe-are-to-blame-51616509077"
"Oil Giant Aramco’s Shares Remain a Curiosity","The Wall Street Journal","3 days ago","Oil giant Saudi Aramco’s first full year as one of the world’s largest public companies was marked by a crude price war, a global pandemic and...","https://www.wsj.com/articles/oil-giant-aramcos-shares-remain-a-curiosity-11616418690"
"Oil Plunge Deepens With Renewed Lockdowns Clouding Horizon","Investing.com","2 days ago","U.S. benchmark futures plunged 6.2% on Tuesday, and the oil futures curve collapsed into a structure...","https://in.investing.com/news/oil-plunge-deepens-with-renewed-lockdowns-clouding-horizon-2658990"
"Oil prices slide as coronavirus lockdown concerns outweigh Suez Canal disruptions","Reuters","20 hours ago","U.S. West Texas Intermediate (WTI) crude futures dropped by $1.27, or 2.1%, to $59.91 a barrel,...","https://www.reuters.com/article/us-global-oil-idUSKBN2BH062"
"Oil claws higher, gold rises - MarketPulse","MarketPulse","1 day ago","After crashing over 6% lower in the previous session, oil prices are on the rise clawing back some of those losses. Bargain hunters were out in force in...","https://www.marketpulse.com/20210324/oil-claws-higher-gold-rises/"
"Oil Prices Jump 6% as Volatility Debuts in Oversold Market By Investing.com","Investing.com","2 days ago","The much-anticipated volatility in oil is finally here. Crude prices settled up 6% on Wednesday,...","https://www.investing.com/news/commodities-news/us-crude-stockpile-unexpectedly-rose-19-million-barrels-eia-2455988"
"Oil steadies, recovery stunded by European lockdowns, U.S. stockbuild By Reuters","Investing.com","2 days ago","Oil prices steadiedr on Wednesday, following the previous day's slump, but the recovery was stunted...","https://ca.investing.com/news/commodities-news/oil-steadies-recovery-stunded-by-european-lockdowns-us-stockbuild-2392469"
"Oil Rebound As Taiwan-Based Container Ship Grounds In Suez Canal","TheStreet.com","2 days ago","Global oil prices rebounded sharply Wednesday after a Taiwanese container ship blew off course in the Suez canal, creating a bottleneck that could slow the delivery of more ...","https://www.thestreet.com/investing/oil-rebounds-sharply-as-taiwan-based-tanker-blocks-suez-canal?puc=yahoo&cm_ven=YAHOO&yptr=yahoo"
"Oil prices shoot up after mega container ship blocks Suez Canal","MSN News","1 day ago","Oil prices soared higher this afternoon after one of the world’s largest container ships ran aground in the Suez Canal, The post Oil prices shoot up after ...","https://www.msn.com/en-gb/money/other/oil-prices-shoot-up-after-mega-container-ship-blocks-suez-canal/ar-BB1eVwEv"
"Oil demand 'will surge this summer': expert","MSN News","1 day ago","The Suez Canal, a key waterway for global trade, remains blocked by a container ship that has run aground and driving oil shares higher. Stephen Schork,...","https://www.msn.com/en-us/money/smallbusiness/oil-demand-will-surge-this-summer-expert/vi-BB1eVaCl?ocid=hplocalnews"
"Oil drops on concerns European COVID-19 issues to crimp demand","KFGO","3 days ago","MELBOURNE (Reuters) - Oil prices fell 1% on Tuesday on concerns that new pandemic curbs and slow...","https://kfgo.com/2021/03/22/oil-drops-on-concerns-european-covid-19-issues-to-crimp-demand/"
"Oil And Gold In Consolidation Mode | Investing.com","Investing.com","3 days ago","A light data calendar in the first half of the week means that short-term moves in the US dollar are likely to drive short-term movements in oil prices...","https://www.investing.com/analysis/oil-and-gold-in-consolidation-mode-200568699"
"Oil And Gold Drift Lower | Investing.com","Investing.com","2 days ago","Oil prices edged lower overnight, Brent crude easing 0.40% to USD64.25 a barrel, and WTI edging 0.25% lower to USD61.25 a barrel. Asia’s downward...","https://www.investing.com/analysis/oil-and-gold-drift-lower-200568947"
"Oil Inventories Rise by 2.9M Barrels Last Week: API By Investing.com","Investing.com","3 days ago","Oil Inventories Rise by 2.9M Barrels Last Week: API","https://ng.investing.com/news/commodities-news/oil-inventories-rise-by-29m-barrels-last-week-api-367092"
"Oil Mixed, Investors Digest Build in U.S. Crude Stockpiles and Weak Fuel Demand By Investing.com","Investing.com","2 days ago","Oil was mixed Wednesday morning in Asia, as investors continue to digest an increase in U.S. crude ...","https://www.investing.com/news/commodities-news/oil-mixed-investors-digest-build-in-us-crude-stockpiles-and-weak-fuel-demand-2455334"
"Oil bounces back but recovery stunted by European lockdowns, U.S. stock build","Reuters","2 days ago","Oil prices rose more than 1% on Wednesday as investors sought bargains following the previous day’s...","https://www.reuters.com/article/global-oil-int-idUSKBN2BG06G"
"Oil tumbles, stocks wobble","AFP via Yahoo News","19 hours ago","Oil prices slumped Thursday, a day after spiking over the closure of the Suez canal, while stocks grappled with nagging pandemic concerns and inflation...","https://news.yahoo.com/asian-markets-edge-higher-inflation-030831005.html"
"Oil prices slump on renewed lockdowns","MSN News","2 days ago","Oil prices slumped Tuesday on lower demand prospects as Europe's biggest economy Germany said it would reimpose strict coronavirus containment measures...","https://www.msn.com/en-ae/money/markets/oil-prices-slump-on-renewed-lockdowns/ar-BB1eRk6y"
"Oil rises on bargain-hunting but oversupply fears cap gains By Reuters","Investing.com","2 days ago","Oil prices edged higher on Wednesday as investors looked for bargains following the previous day's...","https://www.investing.com/news/commodities-news/oil-rises-on-bargainhunting-but-oversupply-fears-cap-gains-2455333"
"Oil rises on bargain-hunting but oversupply fears cap gains","Reuters","2 days ago","Oil prices edged higher on Wednesday as investors looked for bargains following the previous day’s...","https://www.reuters.com/article/us-global-oil-idUSKBN2BG05U"
"Oil Slumps Below $60 Again. Signs of Weaker Demand in Europe Are to Blame.","Barrons.com","2 days ago","Oil prices slumped on Tuesday, with U.S.-traded crude again falling below $60. Signs of weaker fuel...","https://www.barrons.com/articles/oil-slumps-below-60-again-signs-of-weaker-demand-in-europe-are-to-blame-51616509077?siteid=yhoof2&yptr=yahoo"
"Oil falls as European lockdowns douse recovery hopes By Reuters","Investing.com","4 days ago","Oil prices resumed their decline on Monday, falling around 1% as worries about a drop in demand for fuel products in the wake of yet more European lockdowns dominated trading ...","https://uk.investing.com/news/commodities-news/oil-falls-as-european-lockdowns-douse-recovery-hopes-2329199"
"Oil and gold drift lower - MarketPulse","MarketPulse","2 days ago","Oil prices edged lower overnight, Brent crude easing 0.40% to USD64.25 a barrel, and WTI edging 0.25% lower to USD61.25 a barrel. Asia’s downward...","https://www.marketpulse.com/20210323/oil-and-gold-drift-lower/"
"Oil prices drop 6% to enter correction territory","MarketWatch","2 days ago","U.S. and global oil prices fell by roughly 6% on Tuesday to enter correction territory, as renewed lockdowns in Europe to combat the coronavirus pandemic...","https://www.marketwatch.com/story/oil-prices-sink-4-as-european-covid-curbs-raise-demand-worries-11616502889?siteid=yhoof2&yptr=yahoo"
"Oil giant Saudi Aramco says profits sharply drop to $49 billion amid coronavirus pandemic","ABC News","5 days ago","Oil giant Saudi Aramco says profits sharply drop to $49 billion amid coronavirus pandemic","https://abcnews.go.com/International/wireStory/oil-giant-saudi-aramco-profits-sharply-drop-49-76587476"
"Oil prices post a modest gain after largest weekly slide since October","Morningstar","3 days ago","Crude-oil futures posted a modest gain on Monday, finding support after suffering from their largest weekly loss since October. Worries over renewed lockdowns and a sluggish ...","https://www.morningstar.com/news/marketwatch/20210322495/oil-prices-post-a-modest-gain-after-largest-weekly-slide-since-october"
"Oil flips to contango, gold softens - MarketPulse","MarketPulse","2 days ago","Oil prices are declining as market structures flip to contango, the dollar resumes despite falling bond yields, and a dreary European short-term crude...","https://www.marketpulse.com/20210323/oil-flips-contango-gold-softens/"
"Oil Still on a Bumpy Path to Recovery Despite Price Swerve","Bloomberg","5 days ago","Oil just experienced its biggest one-day price slump in more than six months, but it hasn’t veered...","https://www.bloomberg.com/news/articles/2021-03-21/oil-is-still-on-a-bumpy-path-to-recovery-despite-price-swerve"
